Nama Produk;Harga;Kategori_Harga;Urutan
Kopi Luwak Ternak Sidikalang Arabika 250 Gram;375000;350000-400000;8
TANAMERA COFFEE - Premium Blend / Kopi Arabika 1kg;412800;400000-450000;9
Biji Kopi Arabika Watermelon Smash! 1 KG Specialty Coffee - Biji;425000;400000-450000;9
Kopi Arabika Luwak 500 Gr Single Origin - Bean/Biji & Ground/Bubuk - Bean - Biji;450000;400000-450000;9
Kopi Arabika Tanamera Coffee Premium Blend 1Kg;463000;450000-500000;10
Kopi Arabika KENYA KIRINYAGA 1 Kg Specialty Coffee Beans Biji Kopi;462000;450000-500000;10
Kopi Arabika Tanamera Coffee Sumatera: Mandailing Washed 1Kg;462000;450000-500000;10
Kopi Arabika Ethiopia Yirgacheffe 1 KG Specialty Coffee Biji Kopi;502000;500000-550000;11
Kona Coffee Hawaii 100% Peaberry Medium Roast Coffee Bean 8oz 226g;750000;700000-750000;15
Kopi Luwak Authentic Arabica 150 Gr;744610;700000-750000;15
